Acidothermus_cellulolyticus_11B	_11B
Bifidobacterium_thermophilum_RBL67	BL67
Conexibacter_woesei	esei
Corynebacterium_efficiens_YS314	S314
Corynebacterium_glutamicum_ATCC13032	3032
Corynebacterium_jeikeium_K411	K411
Corynebacterium_pseudotuberculosis_106A	106A
Gardnerella_vaginalis_40905	0905
Ilumatobacter_coccineus_YM16304	6304
Intrasporangium_calvum	lvum
Modestobacter_marinus_BC501	C501
Mycobacterium_abscessus_chromosome	some
Mycobacterium_africanum_GM041182	1182
Mycobacterium_avium_104	_104
Mycobacterium_avium_paratuberculosis	osis
Mycobacterium_bovis_AF212297	2297
Mycobacterium_canettii_CIPT	CIPT
Mycobacterium_caprae_SRR650219	0219
Mycobacterium_chelonae_genome	nome
Mycobacterium_chubuense_NBB4	NBB4
Mycobacterium_gilvum_PYRGCK	RGCK
Mycobacterium_goodii_X7B	_X7B
Mycobacterium_haemophilum	ilum
Mycobacterium_indicus_pranii	anii
Mycobacterium_intracellulare_ATCC13950	3950
Mycobacterium_kansasii_ATCC12478	2478
Mycobacterium_leprae_Br4923	4923
Mycobacterium_liflandii_128FXT	8FXT
Mycobacterium_marinum_M	um_M
Mycobacterium_microti_ERR027293	7293
Mycobacterium_neoaurum_VKM	_VKM
Mycobacterium_orygis_ERR015582	5582
Mycobacterium_pinipeddii_SRR1239338	9338
Mycobacterium_rhodesiae_NBB3	NBB3
Mycobacterium_sinense_JDM601	M601
Mycobacterium_smegmatis_JS623	S623
Mycobacterium_smegmatis_MC2	_MC2
Mycobacterium_sp._051390	1390
Mycobacterium_sp._JLS	_JLS
Mycobacterium_sp._KMS	_KMS
Mycobacterium_sp._MCS	_MCS
Mycobacterium_sp._MOTT36Y	T36Y
Mycobacterium_tuberculosis_H37Rv	37Rv
Mycobacterium_ulcerans_Agy99	gy99
Mycobacterium_vanbaalenii_PYR1	PYR1
Nocardia_brasiliensis_ATCC700358	0358
Nocardia_cyriacigeorgica_GUH2	GUH2
Nocardia_farcinica_IFM	_IFM
Olsenella_uli	_uli
Rhodococcus_equi_103S	103S
Rhodococcus_erythropolis_PR4	_PR4
Rhodococcus_jostii_RHA1	RHA1
Rhodococcus_opacus_B4	s_B4
Rhodococcus_pyridinivorans_SB3094	3094
Saccharomonospora_viridis	idis
Streptomyces_albus_J1074	1074
Verrucosispora_maris_AB18032	8032
