762_0|ERR337762	ERR337762_00009	ERR337762_00030	ERR337762_00036	ERR337762_00028	ERR337762_00026	ERR337762_00027
032_1|DRR016032	DRR016032_00264	DRR016032_00275	DRR016032_00274	DRR016032_00267	DRR016032_00265	DRR016032_00266
962_0|DRR015962	DRR015962_00141	DRR015962_00164	DRR015962_00163	DRR015962_00155	DRR015962_00153	DRR015962_00154
542_0|ERR340542	ERR340542_00073	ERR340542_00091	ERR340542_00097	ERR340542_00089	ERR340542_00087	ERR340542_00088
050_0|DRR016050	DRR016050_00013	DRR016050_00002	DRR016050_00003	DRR016050_00010	DRR016050_00012	DRR016050_00011
827_0|ERR337827	ERR337827_00096	ERR337827_00059	ERR337827_00060/61	ERR337827_00090	ERR337827_00088	ERR337827_00087
370_0|SRR071370	SRR071370_00125	SRR071370_00113	SRR071370_00115	SRR071370_00122	SRR071370_00124	SRR071370_00123
496_0|ERR340496	ERR340496_00039	ERR340496_00050	ERR340496_00049	-	ERR340496_00040	ERR340496_00041
827_1|ERR337827	ERR337827_00240	ERR337827_00228	ERR337827_00229	-	ERR337827_00239	ERR337827_00238
956_3|DRR015956	DRR015956_00421	DRR015956_00422	DRR015956_00423	DRR015956_00430	-	DRR015956_00429
979_0|ERR248979	ERR248979_00030	ERR248979_00018	ERR248979_00020	ERR248979_00027	ERR248979_00029	ERR248979_00028
530_0|ERR340530	ERR340530_00054	ERR340530_00056	ERR340530_00055	ERR340530_00044	ERR340530_00042	ERR340530_00043
800_0|ERR337800	ERR337800_00014	ERR337800_00002	ERR337800_00004	ERR337800_00011	ERR337800_00013	ERR337800_00012
957_0|DRR015957	DRR015957_00022	DRR015957_00044	DRR015957_00042	DRR015957_00025	DRR015957_00023	DRR015957_00024
498_1|ERR340498	ERR340498_00131	ERR340498_00136	ERR340498_00138	-	ERR340498_00135	ERR340498_00140
495_0|ERR340495	ERR340495_00039	ERR340495_00051	ERR340495_00050	-	ERR340495_00040	ERR340495_00041
838_0|ERR337838	ERR337838_00094	ERR337838_00002	ERR337838_00004	ERR337838_00097	ERR337838_00095	ERR337838_00096
955_1|DRR015955	DRR015955_00175	DRR015955_00164	DRR015955_00165	DRR015955_00172	DRR015955_00174	DRR015955_00173
Nocardia_cyriacigeorgica_GUH2_esxN	Nocardia_cyriacigeorgica_GUH2_01390 Nocardia_cyriacigeorgica_GUH2_01391	Nocardia_cyriacigeorgica_GUH2_01392	Nocardia_cyriacigeorgica_GUH2_01399	Nocardia_cyriacigeorgica_GUH2_01401	Nocardia_cyriacigeorgica_GUH2_01400
Nocardia_brasiliensis_ATCC700358_esxN	Nocardia_brasiliensis_ATCC700358_04864   Nocardia_brasiliensis_ATCC700358_04863 Nocardia_brasiliensis_ATCC700358_04862	Nocardia_brasiliensis_ATCC700358_04855	Nocardia_brasiliensis_ATCC700358_04853	Nocardia_brasiliensis_ATCC700358_04854
Nocardia_cyriacigeorgica_GUH2_esx4	-   Nocardia_cyriacigeorgica_GUH2_00903 Nocardia_cyriacigeorgica_GUH2_00906	Nocardia_cyriacigeorgica_GUH2_00905 Nocardia_cyriacigeorgica_GUH2_00902 Nocardia_cyriacigeorgica_GUH2_00904
Nocardia_brasiliensis_ATCC700358_esx4	-   Nocardia_brasiliensis_ATCC700358_00991	Nocardia_brasiliensis_ATCC700358_00998  Nocardia_brasiliensis_ATCC700358_00997	Nocardia_brasiliensis_ATCC700358_00990  Nocardia_brasiliensis_ATCC700358_00996
Nocardia_farcinica_IFM_esx4 -   Nocardia_farcinica_IFM_00870    Nocardia_farcinica_IFM_00874	Nocardia_farcinica_IFM_00873    Nocardia_farcinica_IFM_00869    Nocardia_farcinica_IFM_00872
Nocardia_cyriacigeorgica_GUH2_esx4-bis	Nocardia_cyriacigeorgica_GUH2_00870 Nocardia_cyriacigeorgica_GUH2_00869	Nocardia_cyriacigeorgica_GUH2_00873	Nocardia_cyriacigeorgica_GUH2_00871	Nocardia_cyriacigeorgica_GUH2_00868	Nocardia_cyriacigeorgica_GUH2_00872
Nocardia_brasiliensis_ATCC700358_esx4-bis	Nocardia_brasiliensis_ATCC700358_00964   Nocardia_brasiliensis_ATCC700358_00963 Nocardia_brasiliensis_ATCC700358_00967	Nocardia_brasiliensis_ATCC700358_00965	Nocardia_brasiliensis_ATCC700358_00962	Nocardia_brasiliensis_ATCC700358_00966
Nocardia_farcinica_IFM_esx4-bis	Nocardia_farcinica_IFM_00848    Nocardia_farcinica_IFM_00847	Nocardia_farcinica_IFM_00851    Nocardia_farcinica_IFM_00849    Nocardia_farcinica_IFM_00846    Nocardia_farcinica_IFM_00850
Mycobacterium_smegmatis_MC2_esx1	Mycobacterium_smegmatis_MC2_00058	Mycobacterium_smegmatis_MC2_00059	Mycobacterium_smegmatis_MC2_00060/61	Mycobacterium_smegmatis_MC2_00067	Mycobacterium_smegmatis_MC2_00082	Mycobacterium_smegmatis_MC2_00083
Mycobacterium_kansasii_ATCC12478_esx1	Mycobacterium_kansasii_ATCC12478_02838	Mycobacterium_kansasii_ATCC12478_02839	Mycobacterium_kansasii_ATCC12478_02840/41	Mycobacterium_kansasii_ATCC12478_02848	Mycobacterium_kansasii_ATCC12478_02853	Mycobacterium_kansasii_ATCC12478_02854
Mycobacterium_marinum_M_esx1	Mycobacterium_marinum_M_05577	Mycobacterium_marinum_M_05578	Mycobacterium_marinum_M_05579/80	Mycobacterium_marinum_M_05587	Mycobacterium_marinum_M_05593	Mycobacterium_marinum_M_05594
Mycobacterium_rhodesiae_NBB3_esx1	Mycobacterium_rhodesiae_NBB3_01864	Mycobacterium_rhodesiae_NBB3_01865	Mycobacterium_rhodesiae_NBB3_01866/67	Mycobacterium_rhodesiae_NBB3_01873	Mycobacterium_rhodesiae_NBB3_01624	Mycobacterium_rhodesiae_NBB3_01623
Mycobacterium_gilvum_PYRGCK_esx1	Mycobacterium_gilvum_PYRGCK_00790	Mycobacterium_gilvum_PYRGCK_00789	Mycobacterium_gilvum_PYRGCK_00788/87	Mycobacterium_gilvum_PYRGCK_00781	Mycobacterium_gilvum_PYRGCK_00772	Mycobacterium_gilvum_PYRGCK_00771
Mycobacterium_sp._JLS_esx1	Mycobacterium_sp._JLS_00058	Mycobacterium_sp._JLS_00059	Mycobacterium_sp._JLS_00060/61	Mycobacterium_sp._JLS_00067	Mycobacterium_sp._JLS_00071	Mycobacterium_sp._JLS_00072
Mycobacterium_tuberculosis_H37Rv_esx1	eccA1	eccB1	eccCa1/b1	eccD1	eccE1	mycP1
Mycobacterium_neoaurum_VKM_esx1	Mycobacterium_neoaurum_VKM_00383	Mycobacterium_neoaurum_VKM_00382	Mycobacterium_neoaurum_VKM_00381/80	Mycobacterium_neoaurum_VKM_00374	Mycobacterium_neoaurum_VKM_00371	Mycobacterium_neoaurum_VKM_00370
Mycobacterium_haemophilum_esx1	Mycobacterium_haemophilum_04013	Mycobacterium_haemophilum_04014	Mycobacterium_haemophilum_04015/16	Mycobacterium_haemophilum_04021	Mycobacterium_haemophilum_04027	Mycobacterium_haemophilum_04028
Mycobacterium_tuberculosis_H37Rv_esx2	eccA2	eccB2	eccC2	eccD2	eccE2	mycP2
Mycobacterium_avium_104_esx2	Mycobacterium_avium_104_00158   Mycobacterium_avium_104_05209	Mycobacterium_avium_104_05208	Mycobacterium_avium_104_00155	Mycobacterium_avium_104_00157	Mycobacterium_avium_104_00156
Mycobacterium_intracellulare_ATCC13950_esx2 Mycobacterium_intracellulare_ATCC13950_00169    Mycobacterium_intracellulare_ATCC13950_05054    Mycobacterium_intracellulare_ATCC13950_05053	Mycobacterium_intracellulare_ATCC13950_00166	Mycobacterium_intracellulare_ATCC13950_00168	Mycobacterium_intracellulare_ATCC13950_00167
Mycobacterium_haemophilum_esx2	Mycobacterium_haemophilum_04029 Mycobacterium_haemophilum_00049	Mycobacterium_haemophilum_00050	Mycobacterium_haemophilum_04032	Mycobacterium_haemophilum_04030	Mycobacterium_haemophilum_04031
Mycobacterium_kansasii_ATCC12478_esx2	Mycobacterium_kansasii_ATCC12478_02855	Mycobacterium_kansasii_ATCC12478_02867	Mycobacterium_kansasii_ATCC12478_02866	Mycobacterium_kansasii_ATCC12478_02858	Mycobacterium_kansasii_ATCC12478_02856	Mycobacterium_kansasii_ATCC12478_02857
Mycobacterium_sinense_JDM601_esx2	Mycobacterium_sinense_JDM601_00047	Mycobacterium_sinense_JDM601_00058	Mycobacterium_sinense_JDM601_00057	Mycobacterium_sinense_JDM601_00050	Mycobacterium_sinense_JDM601_00048	Mycobacterium_sinense_JDM601_00049
Mycobacterium_smegmatis_MC2_esx3	Mycobacterium_smegmatis_MC2_00600	Mycobacterium_smegmatis_MC2_00601	Mycobacterium_smegmatis_MC2_00602	Mycobacterium_smegmatis_MC2_00608	Mycobacterium_smegmatis_MC2_00610	Mycobacterium_smegmatis_MC2_00609
Mycobacterium_intracellulare_ATCC13950_esx3	Mycobacterium_intracellulare_ATCC13950_04713	Mycobacterium_intracellulare_ATCC13950_04712	Mycobacterium_intracellulare_ATCC13950_04711	Mycobacterium_intracellulare_ATCC13950_04705	Mycobacterium_intracellulare_ATCC13950_04703	Mycobacterium_intracellulare_ATCC13950_04704
Mycobacterium_kansasii_ATCC12478_esx3	Mycobacterium_kansasii_ATCC12478_03321	Mycobacterium_kansasii_ATCC12478_03322	Mycobacterium_kansasii_ATCC12478_03323	Mycobacterium_kansasii_ATCC12478_03329	Mycobacterium_kansasii_ATCC12478_03331	Mycobacterium_kansasii_ATCC12478_03330
Mycobacterium_marinum_M_esx3	Mycobacterium_marinum_M_00539	Mycobacterium_marinum_M_00540	Mycobacterium_marinum_M_00541	Mycobacterium_marinum_M_00547	Mycobacterium_marinum_M_00549	Mycobacterium_marinum_M_00548
Mycobacterium_rhodesiae_NBB3_esx3	Mycobacterium_rhodesiae_NBB3_01416	Mycobacterium_rhodesiae_NBB3_01415	Mycobacterium_rhodesiae_NBB3_01414	Mycobacterium_rhodesiae_NBB3_01408	Mycobacterium_rhodesiae_NBB3_01406	Mycobacterium_rhodesiae_NBB3_01407
Mycobacterium_gilvum_PYRGCK_esx3	Mycobacterium_gilvum_PYRGCK_00336	Mycobacterium_gilvum_PYRGCK_00335	Mycobacterium_gilvum_PYRGCK_00334	Mycobacterium_gilvum_PYRGCK_00328	Mycobacterium_gilvum_PYRGCK_00326	Mycobacterium_gilvum_PYRGCK_00327
Mycobacterium_tuberculosis_H37Rv_esx3	eccA3	eccB3	eccC3	eccD3	eccE3	mycP3
Mycobacterium_neoaurum_VKM_esx3	Mycobacterium_neoaurum_VKM_00756	Mycobacterium_neoaurum_VKM_00757	Mycobacterium_neoaurum_VKM_00758	Mycobacterium_neoaurum_VKM_00764	Mycobacterium_neoaurum_VKM_00766	Mycobacterium_neoaurum_VKM_00765
Mycobacterium_avium_104_esx3	Mycobacterium_avium_104_04809	Mycobacterium_avium_104_04808	Mycobacterium_avium_104_04807/06	Mycobacterium_avium_104_04800	Mycobacterium_avium_104_04798	Mycobacterium_avium_104_04799
Mycobacterium_haemophilum_esx3	Mycobacterium_haemophilum_00353	Mycobacterium_haemophilum_00354	Mycobacterium_haemophilum_00355	Mycobacterium_haemophilum_00361	Mycobacterium_haemophilum_00363	Mycobacterium_haemophilum_00362
Mycobacterium_abscessus_chromosome_esx3	Mycobacterium_abscessus_chromosome_02263	Mycobacterium_abscessus_chromosome_02262	Mycobacterium_abscessus_chromosome_02261	Mycobacterium_abscessus_chromosome_02255	Mycobacterium_abscessus_chromosome_02253	Mycobacterium_abscessus_chromosome_02254
Mycobacterium_sinense_JDM601_esx3	Mycobacterium_sinense_JDM601_00296	Mycobacterium_sinense_JDM601_00297	Mycobacterium_sinense_JDM601_00298	Mycobacterium_sinense_JDM601_00304	Mycobacterium_sinense_JDM601_00306	Mycobacterium_sinense_JDM601_00305
Mycobacterium_sp._JLS_esx3	Mycobacterium_sp._JLS_00363	Mycobacterium_sp._JLS_00364	Mycobacterium_sp._JLS_00365	Mycobacterium_sp._JLS_00371	Mycobacterium_sp._JLS_00373	Mycobacterium_sp._JLS_00372
Mycobacterium_tuberculosis_H37Rv_esx5	eccA5	eccB5	eccC5	eccD5	eccE5	mycP5
Mycobacterium_intracellulare_ATCC13950_esx5	Mycobacterium_intracellulare_ATCC13950_02705	Mycobacterium_intracellulare_ATCC13950_02721	Mycobacterium_intracellulare_ATCC13950_02720	Mycobacterium_intracellulare_ATCC13950_02708	Mycobacterium_intracellulare_ATCC13950_02706	Mycobacterium_intracellulare_ATCC13950_02707
Mycobacterium_avium_104_esx5	Mycobacterium_avium_104_02878	Mycobacterium_avium_104_02894	Mycobacterium_avium_104_02893	Mycobacterium_avium_104_02881	Mycobacterium_avium_104_02879	Mycobacterium_avium_104_02880
Mycobacterium_haemophilum_esx5	Mycobacterium_haemophilum_02145	Mycobacterium_haemophilum_02132	Mycobacterium_haemophilum_02133	Mycobacterium_haemophilum_02142	Mycobacterium_haemophilum_02144	Mycobacterium_haemophilum_02143
Mycobacterium_kansasii_ATCC12478_esx5	Mycobacterium_kansasii_ATCC12478_00047	Mycobacterium_kansasii_ATCC12478_00032	Mycobacterium_kansasii_ATCC12478_00033	Mycobacterium_kansasii_ATCC12478_00044	Mycobacterium_kansasii_ATCC12478_00046	Mycobacterium_kansasii_ATCC12478_00045
Mycobacterium_marinum_M_esx5	Mycobacterium_marinum_M_02731	Mycobacterium_marinum_M_02715	Mycobacterium_marinum_M_02716	Mycobacterium_marinum_M_02728	Mycobacterium_marinum_M_02730	Mycobacterium_marinum_M_02729
Mycobacterium_sinense_JDM601_esx5	Mycobacterium_sinense_JDM601_01952	Mycobacterium_sinense_JDM601_01943	Mycobacterium_sinense_JDM601_01944	Mycobacterium_sinense_JDM601_01949	Mycobacterium_sinense_JDM601_01951	Mycobacterium_sinense_JDM601_01950
Mycobacterium_smegmatis_MC2_esx4	-	Mycobacterium_smegmatis_MC2_01509	Mycobacterium_smegmatis_MC2_01512	Mycobacterium_smegmatis_MC2_01511	-	Mycobacterium_smegmatis_MC2_01510
Mycobacterium_intracellulare_ATCC13950_esx4	-	Mycobacterium_intracellulare_ATCC13950_04211	Mycobacterium_intracellulare_ATCC13950_04208	Mycobacterium_intracellulare_ATCC13950_04209	-	Mycobacterium_intracellulare_ATCC13950_04210
Mycobacterium_kansasii_ATCC12478_esx4	-	Mycobacterium_kansasii_ATCC12478_03926	Mycobacterium_kansasii_ATCC12478_03929	Mycobacterium_kansasii_ATCC12478_03928	-	Mycobacterium_kansasii_ATCC12478_03927
Mycobacterium_marinum_M_esx4	-	Mycobacterium_marinum_M_01108	Mycobacterium_marinum_M_01111	Mycobacterium_marinum_M_01110	-	Mycobacterium_marinum_M_01109
Mycobacterium_rhodesiae_NBB3_esx4	-	Mycobacterium_rhodesiae_NBB3_00617	Mycobacterium_rhodesiae_NBB3_00613	Mycobacterium_rhodesiae_NBB3_00615	-	Mycobacterium_rhodesiae_NBB3_00616
Mycobacterium_tuberculosis_H37Rv_esx4	-	eccB4	eccC4	eccD4	-	mycP4
Mycobacterium_sinense_JDM601_esx4	-	Mycobacterium_sinense_JDM601_03323	Mycobacterium_sinense_JDM601_03320	Mycobacterium_sinense_JDM601_03321	-	Mycobacterium_sinense_JDM601_03322
Mycobacterium_gilvum_PYRGCK_esx4	-	Mycobacterium_gilvum_PYRGCK_05090	Mycobacterium_gilvum_PYRGCK_05087	Mycobacterium_gilvum_PYRGCK_05088	-	Mycobacterium_gilvum_PYRGCK_05089
Mycobacterium_sp._JLS_esx4	-	Mycobacterium_sp._JLS_01166	Mycobacterium_sp._JLS_01169	Mycobacterium_sp._JLS_01168	-	Mycobacterium_sp._JLS_01167
Mycobacterium_neoaurum_VKM_esx4	-	Mycobacterium_neoaurum_VKM_01423	Mycobacterium_neoaurum_VKM_01426	Mycobacterium_neoaurum_VKM_01425	-	Mycobacterium_neoaurum_VKM_01424
Mycobacterium_avium_104_esx4	-	Mycobacterium_avium_104_04333	Mycobacterium_avium_104_04330	Mycobacterium_avium_104_04331	-	Mycobacterium_avium_104_04332
Mycobacterium_haemophilum_esx4	-	Mycobacterium_haemophilum_00836	Mycobacterium_haemophilum_00839	Mycobacterium_haemophilum_00838	-	Mycobacterium_haemophilum_00837
Mycobacterium_abscessus_chromosome_esx4	-	Mycobacterium_abscessus_chromosome_03797	Mycobacterium_abscessus_chromosome_03794	Mycobacterium_abscessus_chromosome_03795	-	Mycobacterium_abscessus_chromosome_03796
