762_0|ERR337762	ERR337762_00009	ERR337762_00030	ERR337762_00036	ERR337762_00028	ERR337762_00026	ERR337762_00027
032_1|DRR016032	DRR016032_00264	DRR016032_00275	DRR016032_00274	DRR016032_00267	DRR016032_00265	DRR016032_00266
962_0|DRR015962	DRR015962_00141	DRR015962_00164	DRR015962_00163	DRR015962_00155	DRR015962_00153	DRR015962_00154
542_0|ERR340542	ERR340542_00073	ERR340542_00091	ERR340542_00097	ERR340542_00089	ERR340542_00087	ERR340542_00088
050_0|DRR016050	DRR016050_00013	DRR016050_00002	DRR016050_00003	DRR016050_00010	DRR016050_00012	DRR016050_00011
827_0|ERR337827	ERR337827_00096	ERR337827_00059	ERR337827_00060/61	ERR337827_00090	ERR337827_00088	ERR337827_00087
370_0|SRR071370	SRR071370_00125	SRR071370_00113	SRR071370_00115	SRR071370_00122	SRR071370_00124	SRR071370_00123
496_0|ERR340496	ERR340496_00039	ERR340496_00050	ERR340496_00049	-	ERR340496_00040	ERR340496_00041
827_1|ERR337827	ERR337827_00240	ERR337827_00228	ERR337827_00229	-	ERR337827_00239	ERR337827_00238
956_3|DRR015956	DRR015956_00421	DRR015956_00422	DRR015956_00423	DRR015956_00430	-	DRR015956_00429
979_0|ERR248979	ERR248979_00030	ERR248979_00018	ERR248979_00020	ERR248979_00027	ERR248979_00029	ERR248979_00028
530_0|ERR340530	ERR340530_00054	ERR340530_00056	ERR340530_00055	ERR340530_00044	ERR340530_00042	ERR340530_00043
800_0|ERR337800	ERR337800_00014	ERR337800_00002	ERR337800_00004	ERR337800_00011	ERR337800_00013	ERR337800_00012
957_0|DRR015957	DRR015957_00022	DRR015957_00044	DRR015957_00042	DRR015957_00025	DRR015957_00023	DRR015957_00024
498_1|ERR340498	ERR340498_00131	ERR340498_00136	ERR340498_00138	-	ERR340498_00135	ERR340498_00140
495_0|ERR340495	ERR340495_00039	ERR340495_00051	ERR340495_00050	-	ERR340495_00040	ERR340495_00041
838_0|ERR337838	ERR337838_00094	ERR337838_00002	ERR337838_00004	ERR337838_00097	ERR337838_00095	ERR337838_00096
955_1|DRR015955	DRR015955_00175	DRR015955_00164	DRR015955_00165	DRR015955_00172	DRR015955_00174	DRR015955_00173
Mycobacterium_kansasii_ATCC12478_pMK12478_esxP	Mycobacterium_kansasii_ATCC12478_pMK12478_00075	Mycobacterium_kansasii_ATCC12478_pMK12478_00087	Mycobacterium_kansasii_ATCC12478_pMK12478_00086	Mycobacterium_kansasii_ATCC12478_pMK12478_00078	Mycobacterium_kansasii_ATCC12478_pMK12478_00076	Mycobacterium_kansasii_ATCC12478_pMK12478_00077
Mycobacterium_chubuense_NBB4_pMYCCH01_esxP	Mycobacterium_chubuense_NBB4_pMYCCH01_00204	Mycobacterium_chubuense_NBB4_pMYCCH01_00227	Mycobacterium_chubuense_NBB4_pMYCCH01_00226	Mycobacterium_chubuense_NBB4_pMYCCH01_00218	Mycobacterium_chubuense_NBB4_pMYCCH01_00216	Mycobacterium_chubuense_NBB4_pMYCCH01_00217
Mycobacterium_chubuense_NBB4_pMYCCH02_esxP	Mycobacterium_chubuense_NBB4_pMYCCH02_00075	Mycobacterium_chubuense_NBB4_pMYCCH02_00099	Mycobacterium_chubuense_NBB4_pMYCCH02_00098	Mycobacterium_chubuense_NBB4_pMYCCH02_00090	Mycobacterium_chubuense_NBB4_pMYCCH02_00088	Mycobacterium_chubuense_NBB4_pMYCCH02_00089
Mycobacterium_gilvum_PYR-GCK_pMFLV01_esxP	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00203	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00202	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00201	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00195	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00193	Mycobacterium_gilvum_PYR-GCK_pMFLV01_00194
Mycobacterium_abscessus_bolletii_plasmid2_esxP	Mycobacterium_abscessus_bolletii_plasmid2_00076	Mycobacterium_abscessus_bolletii_plasmid2_00097	Mycobacterium_abscessus_bolletii_plasmid2_00104	Mycobacterium_abscessus_bolletii_plasmid2_00094	Mycobacterium_abscessus_bolletii_plasmid2_00092	Mycobacterium_abscessus_bolletii_plasmid2_00093
Mycobacterium_sp_KMS_pMKMS01_esxP	Mycobacterium_sp_KMS_pMKMS01_00009	Mycobacterium_sp_KMS_pMKMS01_00297	Mycobacterium_sp_KMS_pMKMS01_00291	Mycobacterium_sp_KMS_pMKMS01_00299	Mycobacterium_sp_KMS_pMKMS01_00301	Mycobacterium_sp_KMS_pMKMS01_00300
Mycobacterium_sp_KMS_pMKMS02_esxP	Mycobacterium_sp_KMS_pMKMS02_00178	Mycobacterium_sp_KMS_pMKMS02_00179	Mycobacterium_sp_KMS_pMKMS02_00180	Mycobacterium_sp_KMS_pMKMS02_00187	Mycobacterium_sp_KMS_pMKMS02_00185	Mycobacterium_sp_KMS_pMKMS02_00186
Mycobacterium_yongonense_05-1390_pMyong1_esxP	Mycobacterium_yongonense_05-1390_pMyong1_00055	Mycobacterium_yongonense_05-1390_pMyong1_00066	Mycobacterium_yongonense_05-1390_pMyong1_00065	Mycobacterium_yongonense_05-1390_pMyong1_00058	Mycobacterium_yongonense_05-1390_pMyong1_00056	Mycobacterium_yongonense_05-1390_pMyong1_00057
Mycobacterium_marinum_E11_pRAW_esxP	Mycobacterium_marinum_E11_pRAW_00079	Mycobacterium_marinum_E11_pRAW_00068	Mycobacterium_marinum_E11_pRAW_00069	Mycobacterium_marinum_E11_pRAW_00076	Mycobacterium_marinum_E11_pRAW_00078	Mycobacterium_marinum_E11_pRAW_00077
Mycobacterium_smegmatis_JS623_pMYCSM01_esxP	Mycobacterium_smegmatis_JS623_pMYCSM01_00348	Mycobacterium_smegmatis_JS623_pMYCSM01_00265	Mycobacterium_smegmatis_JS623_pMYCSM01_00247	Mycobacterium_smegmatis_JS623_pMYCSM01_00267	Mycobacterium_smegmatis_JS623_pMYCSM01_00269	Mycobacterium_smegmatis_JS623_pMYCSM01_00268
Mycobacterium_smegmatis_JS623_pMYCSM02_esxP	Mycobacterium_smegmatis_JS623_pMYCSM02_00189	Mycobacterium_smegmatis_JS623_pMYCSM02_00188	Mycobacterium_smegmatis_JS623_pMYCSM02_00187	Mycobacterium_smegmatis_JS623_pMYCSM02_00176	Mycobacterium_smegmatis_JS623_pMYCSM02_00174	Mycobacterium_smegmatis_JS623_pMYCSM02_00175
Mycobacterium_smegmatis_JS623_pMYCSM03_esxP	Mycobacterium_smegmatis_JS623_pMYCSM03_00098	Mycobacterium_smegmatis_JS623_pMYCSM03_00099	Mycobacterium_smegmatis_JS623_pMYCSM03_00100	Mycobacterium_smegmatis_JS623_pMYCSM03_00108	Mycobacterium_smegmatis_JS623_pMYCSM03_00106	Mycobacterium_smegmatis_JS623_pMYCSM03_00107
